1936,3,8.6666666667,8.1,39.7333333333,29,12.6666666667,25.6666666667,16.6666666667,6,8.6666666667,0.3333333333,3.1333333333
1937,4.7,3.6666666667,12,35,49,23.3333333333,10.6666666667,8.3333333333,2.3333333333,8,10.6666666667,6.3333333333
1938,7.9666666667,5.4,11.5333333333,9.5,23.0333333333,20.1333333333,10.1333333333,5.1333333333,1.1333333333,13.6,8.3666666667,4.6333333333
1939,8.7666666667,10.1,13,21.5333333333,39.7333333333,9.7333333333,12.7333333333,1.5333333333,4.7666666667,14.0333333333,21.1,3.4666666667
1940,7.0333333333,6.9,15.0333333333,17.4333333333,44.5333333333,13.9333333333,22.3,18.2,16.0333333333,26.9666666667,7.7666666667,3.8333333333
1941,10.5333333333,13.6333333333,22.8666666667,32.1333333333,27.3,12.6666666667,16.2,11.6666666667,9.1333333333,3.6666666667,20.0666666667,11.3
1942,10.7333333333,4.3,30.0666666667,28.0333333333,23.8333333333,43.0666666667,5.9,12.0666666667,5.1,11.6666666667,17.9666666667,3.3666666667
1943,3.3333333333,11.1333333333,18.5666666667,20.2,7.5333333333,16.7666666667,2.4666666667,4.4,3.3333333333,7.7666666667,9.0333333333,8.6333333333
1944,2.9333333333,4.6333333333,9.6666666667,35.6333333333,14.8,23,1.2666666667,3.3,8.3333333333,16.4,18.4,1.3666666667
1945,3.0333333333,6.4666666667,14.1,14.6333333333,21.1333333333,34.1666666667,20.9666666667,8.5,8.8333333333,6.4666666667,12.0666666667,6.3333333333
1946,2.1333333333,9.6333333333,16.0666666667,27.6,22.9,22.0333333333,13.3,16.5,1.8333333333,16.6666666667,9.2,3.5666666667
1947,9.6333333333,3.1333333333,9.4333333333,28.6666666667,30.7333333333,41.2666666667,18.7333333333,2.6,13.5,12.1666666667,11.6666666667,17.6666666667
1948,5.5333333333,7.5333333333,16.6,29.3,17.2333333333,18.9333333333,1.5,2.4333333333,14.8,12.7666666667,4.1333333333,13.8
1949,3.3666666667,8.4666666667,17.7333333333,33.8333333333,32.2333333333,34.3,9.1333333333,14.8,18.9666666667,5.5333333333,3.9333333333,1.8333333333
1950,10.5333333333,3.5666666667,18.0333333333,28.6666666667,30.4,38.3,16.0666666667,12.8666666667,2.8,16.0333333333,10.1,4.5
1951,8.4666666667,2.8333333333,5.2,12.5,32.6333333333,23.0666666667,11.0333333333,8.2666666667,8.8333333333,31.5333333333,13.3666666667,7.3
1952,4.7,8.6666666667,15.5,35.2,15.6,36.4333333333,25.3,3.2333333333,7.1333333333,6.1333333333,7.7,5.7
1953,10.5333333333,11.7666666667,34.9,22.4666666667,14.9333333333,34.7333333333,8.2666666667,11.8,4.0333333333,33.3333333333,14.9333333333,6.2
1954,7.1,6.3,13.5333333333,17.1,27.8,31.3666666667,36.3,14.9,9.0666666667,0.3,9.3333333333,5.5
1955,0.8666666667,10.3333333333,24.7666666667,16.1333333333,32.6666666667,17.1666666667,19.2666666667,8.3333333333,3.4666666667,0.1333333333,6.6666666667,16.3666666667
1956,5.4666666667,7.1333333333,11.0666666667,21.1333333333,64.2,33.4333333333,0.1,0.6,6.1,5.7,4.7333333333,4.3333333333
1957,5,2.7666666667,22.8,14.8333333333,6.9333333333,6.8,47.8,13.3666666667,3.5,11.4,14.9,7.5333333333
1958,4.6333333333,8.3333333333,21.7,36.7333333333,33.4666666667,31.9333333333,30,29.7,4.6,3.7333333333,10.2,9.2
1959,6.6666666667,8.5333333333,22.3333333333,26.2,22.5333333333,22.0666666667,20.7666666667,6.9333333333,0,12.8,13.1666666667,4.1333333333
